# Sample Network Data for Enhanced Cyber Security Log Analyzer
# Format: timestamp,ipAddress,action,status

# Normal traffic
# Web application attacks
2024-07-07 08:08:01,99.88.77.66,HTTP GET to:192.168.1.1 /login.php?id=1' OR '1'='1,400
2024-07-07 08:08:02,99.88.77.66,HTTP POST to:192.168.1.1 /search?q=<script>alert('xss')</script>,400
2024-07-07 08:08:03,99.88.77.66,HTTP GET to:192.168.1.1 /../../../etc/passwd,403
2024-07-07 08:08:04,99.88.77.66,HTTP POST to:192.168.1.1 /upload.php,413

# APT-like behavior
2024-07-07 08:09:01,203.0.113.5,HTTPS POST to:192.168.1.1 /legitimate-login,200
2024-07-07 08:09:02,203.0.113.5,HTTP GET to:192.168.1.1 /user/profile,200
2024-07-07 08:09:03,203.0.113.5,HTTP GET to:192.168.1.100 /network-info,200
2024-07-07 08:09:04,203.0.113.5,HTTP POST to:192.168.1.50 /privilege-escalation,403
2024-07-07 08:09:05,203.0.113.5,HTTP GET to:192.168.1.200 /sensitive-data,200

# Server-to-server communication
2024-07-07 08:10:01,192.168.1.1,HTTP POST to:192.168.1.100 /api/sync,200
2024-07-07 08:10:02,192.168.1.100,HTTP POST to:192.168.1.1 /api/response,200
2024-07-07 08:10:03,192.168.1.50,HTTP GET to:192.168.1.1 /api/config,200
2024-07-07 08:10:04,192.168.1.200,HTTP POST to:192.168.1.1 /api/logs,200

# DNS tunneling attempt
2024-07-07 08:11:01,198.51.100.10,DNS QUERY to:192.168.1.1 malicious.encoded.data.example.com,200
2024-07-07 08:11:02,198.51.100.10,DNS QUERY to:192.168.1.1 more.encoded.payload.example.com,200
2024-07-07 08:11:03,198.51.100.10,DNS QUERY to:192.168.1.1 exfiltration.data.example.com,200

# Port scanning
2024-07-07 08:12:01,44.55.66.77,TCP CONNECT to:192.168.1.1:22,refused
2024-07-07 08:12:02,44.55.66.77,TCP CONNECT to:192.168.1.1:23,refused
2024-07-07 08:12:03,44.55.66.77,TCP CONNECT to:192.168.1.1:80,open
2024-07-07 08:12:04,44.55.66.77,TCP CONNECT to:192.168.1.1:443,open
2024-07-07 08:12:05,44.55.66.77,TCP CONNECT to:192.168.1.1:3389,refused

# Performance testing data (large volume)
2024-07-07 08:13:01,192.168.1.1,HTTP GET /performance-test-1,200
2024-07-07 08:13:02,192.168.1.1,HTTP GET /performance-test-2,200
2024-07-07 08:13:03,192.168.1.1,HTTP GET /performance-test-3,200
2024-07-07 08:13:04,192.168.1.1,HTTP GET /performance-test-4,200
2024-07-07 08:13:05,192.168.1.1,HTTP GET /performance-test-5,200
